delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,customer_id,service_type,order_created_at,promised_window_hours,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag,order_vlaue,age,home_zone,customer_type,signup_date,loyalty_score,app_engagement_score,preferred_channel,account_status,base_zone,employment_type,years_experience,training_score,driver_rating,shift_preference,active_flag,vehicle_type,assigned_zone,commission_date,battery_health_pct,odometer_km,maintenance_status,telematics_version,hub_name,zone,hub_type,capacity_score,has_complaint,complaint_count,has_incident,incident_count
DL00001,O00938,D004,V056,H05,2024-06-18 10:57:00,2024-06-19 09:05:59,Failed,17.26,1,0,3.07,12.05,C0567,Business,2024-06-18 09:48:00,6,Central,Central,Medium,151.14,Web,0,151.14,74,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2024-02-18 04:31:00,79.7,64.9,App,Active,Airport,PartTime,13,88.9,4.75,Morning,1,EV,Central,2024-06-09 16:18:00,78.4,29849,Active,v2.2,Central Core,Central,Control,88,0.0,0.0,1.0,1.0
DL00002,O00004,D138,V007,H02,2025-01-11 18:45:00,2025-01-11 18:45:00,OnTime,10.34,1,0,5.0,13.41,C0520,Parcel,2025-01-11 17:15:00,2,Riverside,North,Medium,10.04,App,1,10.04,50,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2025-04-21 07:28:00,53.6,80.4,Partner API,Active,Ctr,PartTime,11,69.2,4.61,Evening,1,Diesel,Airport,2025-09-17 08:52:00,68.6,78468,Active,v2.2,South Link,South,Dispatch,78,0.0,0.0,0.0,0.0
DL00003,O00639,D006,V049,H02,2025-06-02 20:39:00,2025-06-02 21:45:32,OnTime,7.92,0,0,4.98,8.51,C0480,Medical,2025-06-02 19:12:00,2,Central,North,Medium,141.93,Web,0,141.93,26,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Enterprise,2025-03-02 00:55:00,67.6,49.6,App,Dormant,Central,FullTime,8,78.8,4.38,Flexible,1,Diesel,East,2025-12-09 16:47:00,55.9,15278,Active,v2.2,South Link,South,Dispatch,78,0.0,0.0,0.0,0.0
DL00004,O00313,D116,V055,H02,2024-03-08 23:31:00,2024-03-09 23:30:08,Delayed,16.42,0,0,4.18,13.62,C0616,Medical,2024-03-08 20:58:00,24,South,North,Low,11.11,App,0,11.11,49,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2024-11-30 06:56:00,65.9,78.2,Phone,Active,Central,FullTime,4,58.2,4.19,Morning,1,Hybrid,East,2025-06-05 13:40:00,83.3,85635,Active,v2.1,South Link,South,Dispatch,78,0.0,0.0,0.0,0.0
DL00005,O00844,D108,V034,H01,2025-09-21 11:43:00,2025-09-21 15:45:34,OnTime,14.52,1,0,4.18,9.22,C0276,Medical,2025-09-21 09:29:00,6,Riverside,Riverside,High,76.02,App,0,76.02,47,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2024-11-15 02:59:00,66.9,76.6,App,Active,South,FullTime,10,70.6,4.33,Morning,1,EV,Riverside,2025-05-24 09:58:00,94.2,210683,InRepair,v2.0,North Exchange,North,Dispatch,82,0.0,0.0,0.0,0.0
DL00006,O00029,D037,V098,H03,2024-09-11 12:40:00,2024-09-12 17:11:52,Delayed,13.84,0,0,1.57,9.58,C0366,Medical,2024-09-11 12:22:00,24,East,Ctr,Medium,190.94,Web,0,190.94,70,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2025-12-22 20:19:00,59.6,51.2,Phone,Dormant,North,PartTime,7,63.9,4.67,Morning,1,Diesel,West,2025-12-29 15:01:00,69.7,73011,Active,v2.1,East Dock,East,Warehouse,74,0.0,0.0,0.0,0.0
DL00007,O00097,D151,V037,H07,2024-01-09 13:41:00,2024-01-10 23:39:11,Delayed,32.72,0,0,4.64,17.7,C0303,Parcel,2024-01-09 11:58:00,24,Airport,Airport,Medium,72.64,App,1,72.64,66,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2025-10-12 04:15:00,76.7,70.4,Web,Active,East,FullTime,2,71.3,4.69,Flexible,1,CargoVan,South,2025-06-13 23:43:00,56.6,52146,InRepair,v1.9,Riverside Hub,Riverside,Warehouse,66,0.0,0.0,0.0,0.0
DL00008,O00207,D082,V066,H03,2024-08-22 21:34:00,2024-08-22 23:22:21,OnTime,7.16,1,0,3.76,11.66,C0023,Business,2024-08-22 19:33:00,6,Ctr,Riverside,Medium,80.33,App,0,80.33,52,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2025-06-28 13:49:00,73.1,45.2,Web,Active,West,PartTime,14,74.1,4.63,Evening,1,Hybrid,North,2024-04-10 18:00:00,77.7,98535,Scheduled,v2.2,East Dock,East,Warehouse,74,0.0,0.0,0.0,0.0
DL00009,O00297,D088,V029,H05,2024-04-12 21:33:00,2024-04-13 01:18:52,OnTime,40.23,1,0,3.7,15.78,C0560,Passenger,2024-04-12 20:51:00,6,Airport,Riverside,Low,151.53,Web,0,151.53,29,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,SME,2025-06-12 08:19:00,59.0,56.2,Web,Active,Riverside,Contract,4,84.3,4.17,Morning,1,EV,North,2024-12-04 10:53:00,78.05,130270,Active,v2.0,Central Core,Central,Control,88,0.0,0.0,1.0,2.0
DL00010,O00836,D058,V057,H08,2025-09-22 19:09:00,2025-09-23 01:15:29,Failed,9.85,1,0,3.2,9.31,C0186,Passenger,2025-09-22 16:20:00,6,South,North,Low,45.9,App,1,45.9,56,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2024-03-15 08:01:00,57.5,57.8,Phone,Dormant,Airport,FullTime,9,82.7,4.27,Flexible,1,EV,Riverside,2025-06-07 06:32:00,76.0,160770,InRepair,v2.0,Midtown Relay,Central,Charging,63,1.0,1.0,0.0,0.0
